"User","freq_type","mone_type","rec_type","Cluster","value"
425,3,3,3,1,51
426,2,2,1,4,29
427,2,3,1,3,39
428,3,3,3,1,51
429,1,1,1,4,17
430,2,2,1,4,29
431,1,1,3,2,27
432,1,1,1,4,17
433,3,2,2,3,36
435,1,1,3,2,27
436,1,1,1,5,17
437,2,2,1,4,29
439,2,3,2,3,44
441,2,2,1,4,29
442,1,2,2,2,32
443,2,2,1,5,29
444,1,2,1,4,27
445,2,2,3,2,39
446,2,2,3,3,39
448,2,2,2,2,34
450,3,2,1,3,31
451,2,3,3,3,49
452,3,3,2,1,46
453,1,3,1,4,37
454,2,2,3,3,39
455,1,1,3,2,27
456,1,1,2,4,22
457,1,1,1,4,17
460,2,2,1,4,29
461,1,1,1,4,17
462,1,1,1,5,17
463,2,3,3,3,49
464,3,3,3,1,51
466,2,3,2,3,44
467,2,2,1,3,29
468,1,3,1,5,37
469,2,2,3,3,39
470,1,1,2,2,22
471,2,2,1,4,29
472,2,3,3,3,49
473,2,2,1,5,29
474,2,3,1,4,39
475,2,3,1,4,39
477,3,2,3,1,41
478,2,3,1,3,39
479,2,2,2,3,34
480,2,1,3,2,29
482,1,1,1,4,17
483,2,2,2,3,34
484,1,1,1,4,17
485,1,2,1,4,27
486,2,2,2,2,34
487,1,2,3,2,37
488,1,3,1,4,37
489,2,2,2,3,34
490,2,1,3,2,29
492,2,3,2,2,44
493,2,1,1,4,19
494,1,1,2,4,22
495,3,2,3,1,41
498,1,3,1,5,37
499,1,2,1,4,27
500,3,3,3,1,51
501,1,2,1,5,27
502,1,2,1,5,27
503,2,1,1,4,19
504,2,2,1,5,29
506,1,3,3,2,47
507,3,3,3,1,51
508,2,2,3,2,39
510,2,3,2,2,44
512,3,3,3,1,51
513,2,1,2,2,24
514,2,2,1,4,29
515,1,1,1,4,17
517,2,2,1,3,29
519,2,3,2,4,44
521,1,1,2,2,22
522,3,3,3,1,51
523,2,2,1,4,29
524,1,1,1,4,17
525,2,2,3,2,39
526,2,3,1,4,39
527,2,2,3,2,39
528,3,3,3,1,51
530,1,1,1,4,17
532,1,2,1,5,27
533,1,2,1,5,27
534,2,2,2,2,34
536,3,3,3,1,51
537,1,3,1,4,37
538,3,3,3,1,51
539,2,3,3,3,49
541,1,1,1,4,17
542,1,3,1,5,37
543,1,2,1,4,27
544,2,2,3,3,39
545,2,2,3,2,39
546,1,1,1,4,17
547,2,2,2,2,34
549,2,3,3,2,49
550,1,1,1,5,17
551,1,2,3,2,37
552,2,3,3,3,49
553,2,2,1,4,29
554,1,2,1,5,27
555,3,3,3,1,51
556,2,1,1,4,19
557,1,1,2,2,22
558,2,2,3,2,39
559,1,2,1,4,27
560,2,2,2,3,34
561,2,3,3,2,49
562,1,3,3,2,47
563,1,2,2,2,32
564,1,1,1,5,17
565,2,2,3,3,39
567,1,1,3,2,27
568,1,1,1,5,17
569,2,2,1,3,29
570,2,1,3,2,29
571,2,3,2,2,44
572,1,3,2,2,42
573,2,2,1,4,29
575,2,2,1,4,29
576,2,3,2,3,44
577,2,1,1,4,19
578,2,3,1,3,39
579,3,3,3,1,51
581,1,2,1,4,27
582,1,1,1,4,17
583,2,1,3,2,29
584,2,2,2,2,34
586,3,3,2,1,46
587,2,2,3,3,39
588,2,2,2,2,34
589,2,2,1,4,29
591,1,1,3,2,27
593,2,1,3,2,29
594,2,2,3,3,39
595,2,1,1,4,19
596,1,2,3,2,37
597,2,2,2,2,34
598,1,1,1,4,17
599,2,2,2,2,34
600,2,3,3,3,49
601,2,1,3,2,29
602,1,1,1,5,17
603,2,2,3,3,39
604,2,2,2,2,34
605,2,2,1,4,29
606,2,1,3,2,29
607,2,2,2,2,34
608,1,1,2,2,22
609,2,1,2,2,24
610,1,1,1,5,17
611,2,3,3,3,49
612,2,2,2,2,34
614,2,3,3,3,49
616,1,2,1,5,27
617,2,2,3,3,39
620,2,2,3,3,39
621,2,3,1,3,39
622,3,2,3,1,41
623,1,1,2,2,22
624,2,2,1,4,29
625,1,1,1,5,17
626,2,3,1,3,39
627,2,3,2,4,44
628,3,3,2,1,46
629,3,2,2,3,36
631,2,2,3,2,39
632,2,2,3,2,39
634,2,2,1,4,29
636,1,1,3,2,27
638,3,3,1,3,41
639,1,3,1,5,37
640,2,2,2,3,34
641,2,3,2,3,44
642,2,2,3,2,39
643,3,3,3,1,51
646,2,2,1,4,29
649,1,3,2,2,42
651,2,1,2,4,24
652,3,3,3,1,51
653,1,1,1,4,17
654,1,1,1,5,17
655,3,3,3,1,51
656,2,2,2,2,34
657,2,2,1,4,29
658,2,2,1,4,29
660,2,3,1,4,39
661,2,2,2,3,34
662,1,1,1,4,17
663,2,2,3,2,39
665,2,2,1,4,29
666,1,1,1,4,17
667,2,2,1,4,29
668,2,2,3,2,39
669,2,2,3,2,39
670,1,1,3,2,27
671,2,1,2,2,24
672,2,2,3,3,39
674,2,2,3,2,39
675,3,3,2,1,46
676,3,2,3,1,41
678,1,2,3,2,37
679,1,1,1,5,17
681,1,1,2,4,22
683,2,1,1,4,19
684,2,2,3,2,39
685,2,2,2,2,34
686,1,3,1,5,37
687,1,1,1,5,17
688,1,2,1,5,27
689,2,2,2,4,34
690,2,3,3,2,49
691,3,3,1,3,41
693,2,3,2,3,44
694,1,1,1,4,17
696,1,1,1,4,17
697,1,1,2,4,22
698,2,2,1,4,29
699,2,3,3,3,49
700,3,3,2,1,46
701,2,2,1,3,29
702,3,3,2,1,46
703,1,1,2,4,22
704,2,1,1,4,19
705,2,3,2,2,44
706,2,3,1,3,39
707,1,1,1,5,17
709,1,2,1,5,27
710,2,2,1,4,29
711,1,2,1,4,27
712,2,3,2,2,44
713,3,3,3,1,51
714,2,2,3,3,39
715,1,1,1,5,17
716,2,2,3,2,39
717,2,2,2,2,34
718,2,3,1,4,39
719,2,3,3,3,49
720,2,2,3,2,39
721,2,2,2,2,34
722,1,1,1,5,17
723,3,3,1,3,41
724,2,2,3,3,39
725,3,3,2,1,46
726,1,1,1,5,17
727,1,1,1,5,17
728,2,3,3,3,49
730,1,2,3,2,37
731,3,3,3,1,51
732,2,3,1,3,39
733,1,1,1,5,17
734,2,2,2,2,34
735,3,3,3,1,51
736,1,1,1,4,17
737,1,1,1,5,17
738,1,1,1,5,17
739,1,1,1,4,17
740,2,1,1,4,19
741,2,1,1,5,19
742,2,2,1,5,29
743,2,3,3,3,49
744,2,2,2,3,34
745,2,2,3,3,39
746,1,2,1,5,27
748,2,2,3,3,39
750,3,3,3,1,51
751,3,3,2,1,46
752,1,2,1,4,27
753,2,3,1,4,39
754,3,2,1,3,31
755,2,2,1,4,29
756,1,2,3,2,37
758,1,1,3,2,27
761,2,3,2,2,44
762,2,3,3,3,49
763,2,2,1,4,29
764,3,3,3,1,51
